date_key,full_date,day_of_week,month,year
73,2023-12-16,Saturday,12,2023
74,2023-01-02,Monday,1,2023
75,2023-12-04,Monday,12,2023
76,2023-11-25,Saturday,11,2023
77,2023-02-14,Tuesday,2,2023
78,2023-02-11,Saturday,2,2023
79,2023-12-16,Saturday,12,2023
80,2023-04-22,Saturday,4,2023
81,2023-11-26,Sunday,11,2023
82,2023-10-03,Tuesday,10,2023
83,2023-04-21,Friday,4,2023
84,2023-07-21,Friday,7,2023
85,2023-04-20,Thursday,4,2023
86,2023-04-17,Monday,4,2023
87,2023-08-26,Saturday,8,2023
88,2023-09-26,Tuesday,9,2023
89,2023-09-12,Tuesday,9,2023
90,2023-05-01,Monday,5,2023
91,2023-01-18,Wednesday,1,2023
92,2023-10-05,Thursday,10,2023
93,2023-03-18,Saturday,3,2023
94,2023-01-13,Friday,1,2023
95,2023-04-03,Monday,4,2023
96,2023-12-29,Friday,12,2023
97,2023-06-17,Saturday,6,2023
98,2023-12-17,Sunday,12,2023
99,2023-06-19,Monday,6,2023
100,2023-05-29,Monday,5,2023
101,2023-12-06,Wednesday,12,2023
102,2023-11-21,Tuesday,11,2023
103,2023-02-03,Friday,2,2023
104,2023-10-29,Sunday,10,2023
105,2023-11-09,Thursday,11,2023
106,2023-02-11,Saturday,2,2023
107,2023-01-22,Sunday,1,2023
108,2023-05-17,Wednesday,5,2023
109,2023-12-28,Thursday,12,2023
110,2023-01-05,Thursday,1,2023
111,2023-09-20,Wednesday,9,2023
112,2023-06-09,Friday,6,2023
113,2023-06-04,Sunday,6,2023
114,2023-05-29,Monday,5,2023
115,2023-05-22,Monday,5,2023
116,2023-08-29,Tuesday,8,2023
117,2023-01-25,Wednesday,1,2023
118,2023-11-05,Sunday,11,2023
119,2023-06-20,Tuesday,6,2023
120,2023-05-05,Friday,5,2023
121,2023-06-24,Saturday,6,2023
122,2023-01-16,Monday,1,2023
123,2023-10-06,Friday,10,2023
124,2023-06-06,Tuesday,6,2023
125,2023-04-08,Saturday,4,2023
126,2023-02-26,Sunday,2,2023
127,2023-08-10,Thursday,8,2023
128,2023-01-13,Friday,1,2023
129,2023-10-25,Wednesday,10,2023
130,2023-02-13,Monday,2,2023
131,2023-02-20,Monday,2,2023
132,2023-03-30,Thursday,3,2023
133,2023-02-08,Wednesday,2,2023
134,2023-06-22,Thursday,6,2023
135,2023-10-05,Thursday,10,2023
136,2023-10-22,Sunday,10,2023
137,2023-11-04,Saturday,11,2023
138,2023-08-25,Friday,8,2023
139,2023-11-08,Wednesday,11,2023
140,2023-08-09,Wednesday,8,2023
141,2023-03-18,Saturday,3,2023
142,2023-01-03,Tuesday,1,2023
143,2023-07-28,Friday,7,2023
144,2023-09-10,Sunday,9,2023
145,2023-07-04,Tuesday,7,2023
146,2023-09-03,Sunday,9,2023
147,2023-04-15,Saturday,4,2023
148,2023-12-03,Sunday,12,2023
149,2023-02-11,Saturday,2,2023
150,2023-05-27,Saturday,5,2023
151,2023-05-22,Monday,5,2023
152,2023-04-20,Thursday,4,2023
153,2023-04-22,Saturday,4,2023
154,2023-05-24,Wednesday,5,2023
155,2023-11-10,Friday,11,2023
156,2023-08-04,Friday,8,2023
157,2023-08-16,Wednesday,8,2023
158,2023-10-04,Wednesday,10,2023
159,2023-03-12,Sunday,3,2023
160,2023-02-12,Sunday,2,2023
161,2023-09-29,Friday,9,2023
162,2023-12-22,Friday,12,2023
163,2023-11-16,Thursday,11,2023
164,2023-05-06,Saturday,5,2023
165,2023-05-14,Sunday,5,2023
166,2023-11-03,Friday,11,2023
167,2023-02-06,Monday,2,2023
168,2023-10-05,Thursday,10,2023
169,2023-08-29,Tuesday,8,2023
170,2023-08-21,Monday,8,2023
171,2023-11-29,Wednesday,11,2023
172,2023-12-22,Friday,12,2023
173,2023-07-28,Friday,7,2023
174,2023-10-22,Sunday,10,2023
175,2023-08-01,Tuesday,8,2023
176,2023-08-17,Thursday,8,2023
177,2023-03-28,Tuesday,3,2023
178,2023-03-13,Monday,3,2023
179,2023-12-30,Saturday,12,2023
180,2023-09-17,Sunday,9,2023
181,2023-08-08,Tuesday,8,2023
182,2023-05-14,Sunday,5,2023
183,2023-06-09,Friday,6,2023
184,2023-05-28,Sunday,5,2023
185,2023-02-12,Sunday,2,2023
186,2023-04-28,Friday,4,2023
187,2023-11-05,Sunday,11,2023
188,2023-11-04,Saturday,11,2023
189,2023-04-16,Sunday,4,2023
190,2023-03-20,Monday,3,2023
191,2023-04-16,Sunday,4,2023
192,2023-10-09,Monday,10,2023
193,2023-03-21,Tuesday,3,2023
194,2023-11-23,Thursday,11,2023
195,2023-12-24,Sunday,12,2023
196,2023-09-02,Saturday,9,2023
197,2023-02-11,Saturday,2,2023
198,2023-11-07,Tuesday,11,2023
199,2023-10-07,Saturday,10,2023
200,2023-04-29,Saturday,4,2023
201,2023-10-04,Wednesday,10,2023
202,2023-10-01,Sunday,10,2023
203,2023-09-19,Tuesday,9,2023
204,2023-02-22,Wednesday,2,2023
205,2023-04-04,Tuesday,4,2023
206,2023-01-22,Sunday,1,2023
207,2023-11-13,Monday,11,2023
208,2023-04-27,Thursday,4,2023
209,2023-09-22,Friday,9,2023
210,2023-05-22,Monday,5,2023
211,2023-08-04,Friday,8,2023
212,2023-09-10,Sunday,9,2023
213,2023-01-31,Tuesday,1,2023
214,2023-04-12,Wednesday,4,2023
215,2023-05-01,Monday,5,2023
216,2023-11-05,Sunday,11,2023
217,2023-12-27,Wednesday,12,2023
218,2023-12-06,Wednesday,12,2023
219,2023-05-25,Thursday,5,2023
220,2023-02-06,Monday,2,2023
221,2023-10-12,Thursday,10,2023
222,2023-12-22,Friday,12,2023
223,2023-07-31,Monday,7,2023
224,2023-09-17,Sunday,9,2023
225,2023-03-19,Sunday,3,2023
226,2023-01-05,Thursday,1,2023
227,2023-08-16,Wednesday,8,2023
228,2023-06-27,Tuesday,6,2023
229,2023-07-10,Monday,7,2023
230,2023-12-31,Sunday,12,2023
231,2023-07-16,Sunday,7,2023
232,2023-12-04,Monday,12,2023
233,2023-09-26,Tuesday,9,2023
234,2023-09-18,Monday,9,2023
235,2023-10-03,Tuesday,10,2023
236,2023-10-24,Tuesday,10,2023
237,2023-12-30,Saturday,12,2023
238,2023-07-11,Tuesday,7,2023
239,2023-04-08,Saturday,4,2023
240,2023-10-13,Friday,10,2023
241,2023-07-17,Monday,7,2023
242,2023-05-14,Sunday,5,2023
243,2023-01-02,Monday,1,2023
244,2023-08-28,Monday,8,2023
245,2023-07-24,Monday,7,2023
246,2023-01-01,Sunday,1,2023
247,2023-11-24,Friday,11,2023
248,2023-05-15,Monday,5,2023
249,2023-03-06,Monday,3,2023
250,2023-04-10,Monday,4,2023
251,2023-11-04,Saturday,11,2023
252,2023-10-08,Sunday,10,2023
253,2023-04-16,Sunday,4,2023
254,2023-03-11,Saturday,3,2023
255,2023-04-26,Wednesday,4,2023
256,2023-08-11,Friday,8,2023
257,2023-05-02,Tuesday,5,2023
258,2023-02-11,Saturday,2,2023
259,2023-10-14,Saturday,10,2023
260,2023-03-01,Wednesday,3,2023
261,2023-07-11,Tuesday,7,2023
262,2023-09-30,Saturday,9,2023
263,2023-04-10,Monday,4,2023
264,2023-01-18,Wednesday,1,2023
265,2023-10-25,Wednesday,10,2023
266,2023-09-01,Friday,9,2023
267,2023-02-18,Saturday,2,2023
268,2023-07-15,Saturday,7,2023
269,2023-04-13,Thursday,4,2023
270,2023-07-25,Tuesday,7,2023
271,2023-12-18,Monday,12,2023
272,2023-06-12,Monday,6,2023
273,2023-06-15,Thursday,6,2023
274,2023-05-22,Monday,5,2023
275,2023-12-13,Wednesday,12,2023
276,2023-11-01,Wednesday,11,2023
277,2023-11-29,Wednesday,11,2023
278,2023-05-04,Thursday,5,2023
279,2023-01-15,Sunday,1,2023
280,2023-06-14,Wednesday,6,2023
281,2023-12-19,Tuesday,12,2023
282,2023-03-18,Saturday,3,2023
283,2023-12-27,Wednesday,12,2023
284,2023-12-04,Monday,12,2023
285,2023-03-12,Sunday,3,2023
286,2023-12-29,Friday,12,2023
287,2023-11-28,Tuesday,11,2023
288,2023-05-09,Tuesday,5,2023
289,2023-09-05,Tuesday,9,2023
290,2023-06-10,Saturday,6,2023
291,2023-02-13,Monday,2,2023
292,2023-08-28,Monday,8,2023
293,2023-03-17,Friday,3,2023
294,2023-11-23,Thursday,11,2023
295,2023-11-15,Wednesday,11,2023
296,2023-10-23,Monday,10,2023
297,2023-05-31,Wednesday,5,2023
298,2023-12-26,Tuesday,12,2023
299,2023-07-22,Saturday,7,2023
300,2023-09-07,Thursday,9,2023
301,2023-12-19,Tuesday,12,2023
302,2023-06-14,Wednesday,6,2023
303,2023-10-10,Tuesday,10,2023
304,2023-08-20,Sunday,8,2023
305,2023-04-30,Sunday,4,2023
306,2023-08-21,Monday,8,2023
307,2023-11-21,Tuesday,11,2023
308,2023-07-16,Sunday,7,2023
309,2023-04-10,Monday,4,2023
310,2023-04-01,Saturday,4,2023
311,2023-06-08,Thursday,6,2023
312,2023-08-17,Thursday,8,2023
313,2023-02-09,Thursday,2,2023
314,2023-01-24,Tuesday,1,2023
315,2023-09-08,Friday,9,2023
316,2023-01-31,Tuesday,1,2023
317,2023-02-14,Tuesday,2,2023
318,2023-05-13,Saturday,5,2023
319,2023-08-03,Thursday,8,2023
320,2023-01-15,Sunday,1,2023
321,2023-08-06,Sunday,8,2023
322,2023-07-24,Monday,7,2023
323,2023-10-14,Saturday,10,2023
324,2023-08-12,Saturday,8,2023
325,2023-02-05,Sunday,2,2023
326,2023-07-01,Saturday,7,2023
327,2023-06-06,Tuesday,6,2023
328,2023-08-04,Friday,8,2023
329,2023-08-26,Saturday,8,2023
330,2023-12-26,Tuesday,12,2023
331,2023-06-29,Thursday,6,2023
332,2023-07-05,Wednesday,7,2023
333,2023-05-27,Saturday,5,2023
334,2023-04-21,Friday,4,2023
335,2023-07-02,Sunday,7,2023
336,2023-09-24,Sunday,9,2023
337,2023-08-17,Thursday,8,2023
338,2023-02-24,Friday,2,2023
339,2023-08-13,Sunday,8,2023
340,2023-02-12,Sunday,2,2023
341,2023-10-22,Sunday,10,2023
342,2023-05-28,Sunday,5,2023
343,2023-08-09,Wednesday,8,2023
344,2023-09-26,Tuesday,9,2023
345,2023-07-28,Friday,7,2023
346,2023-10-12,Thursday,10,2023
347,2023-07-22,Saturday,7,2023
348,2023-12-28,Thursday,12,2023
349,2023-11-17,Friday,11,2023
350,2023-05-29,Monday,5,2023
351,2023-08-29,Tuesday,8,2023
352,2023-04-28,Friday,4,2023
353,2023-04-27,Thursday,4,2023
354,2023-09-26,Tuesday,9,2023
355,2023-05-28,Sunday,5,2023
356,2023-06-21,Wednesday,6,2023
357,2023-11-04,Saturday,11,2023
358,2023-11-18,Saturday,11,2023
359,2023-10-04,Wednesday,10,2023
360,2023-09-29,Friday,9,2023
361,2023-10-31,Tuesday,10,2023
362,2023-07-24,Monday,7,2023
363,2023-09-15,Friday,9,2023
364,2023-05-05,Friday,5,2023
365,2023-07-07,Friday,7,2023
366,2023-07-24,Monday,7,2023
367,2023-06-20,Tuesday,6,2023
368,2023-12-12,Tuesday,12,2023
369,2023-12-23,Saturday,12,2023
370,2023-10-05,Thursday,10,2023
371,2023-12-08,Friday,12,2023
372,2023-07-20,Thursday,7,2023
373,2023-12-30,Saturday,12,2023
374,2023-10-18,Wednesday,10,2023
375,2023-10-16,Monday,10,2023
376,2023-12-10,Sunday,12,2023
377,2023-05-24,Wednesday,5,2023
378,2023-05-16,Tuesday,5,2023
379,2023-04-03,Monday,4,2023
380,2023-11-08,Wednesday,11,2023
381,2023-04-17,Monday,4,2023
382,2023-06-25,Sunday,6,2023
383,2023-02-09,Thursday,2,2023
384,2023-03-10,Friday,3,2023
385,2023-11-01,Wednesday,11,2023
386,2023-10-21,Saturday,10,2023
387,2023-08-29,Tuesday,8,2023
388,2023-04-14,Friday,4,2023
389,2023-04-27,Thursday,4,2023
390,2023-07-18,Tuesday,7,2023
391,2023-08-27,Sunday,8,2023
392,2023-04-27,Thursday,4,2023
393,2023-02-03,Friday,2,2023
394,2023-09-10,Sunday,9,2023
395,2023-04-05,Wednesday,4,2023
396,2023-03-14,Tuesday,3,2023
397,2023-02-23,Thursday,2,2023
398,2023-01-09,Monday,1,2023
399,2023-03-24,Friday,3,2023
400,2023-09-06,Wednesday,9,2023
401,2023-03-22,Wednesday,3,2023
402,2023-06-28,Wednesday,6,2023
403,2023-08-27,Sunday,8,2023
404,2023-05-07,Sunday,5,2023
405,2023-07-23,Sunday,7,2023
406,2023-07-25,Tuesday,7,2023
407,2023-02-09,Thursday,2,2023
408,2023-12-31,Sunday,12,2023
409,2023-11-04,Saturday,11,2023
410,2023-01-12,Thursday,1,2023
411,2023-03-19,Sunday,3,2023
412,2023-03-24,Friday,3,2023
413,2023-05-28,Sunday,5,2023
414,2023-04-13,Thursday,4,2023
415,2023-03-24,Friday,3,2023
416,2023-11-03,Friday,11,2023
417,2023-10-13,Friday,10,2023
418,2023-11-06,Monday,11,2023
419,2023-09-07,Thursday,9,2023
420,2023-08-24,Thursday,8,2023
421,2023-01-08,Sunday,1,2023
422,2023-03-20,Monday,3,2023
423,2023-03-29,Wednesday,3,2023
424,2023-05-22,Monday,5,2023
425,2023-08-07,Monday,8,2023
426,2023-05-23,Tuesday,5,2023
427,2023-06-19,Monday,6,2023
428,2023-01-29,Sunday,1,2023
429,2023-06-17,Saturday,6,2023
430,2023-11-03,Friday,11,2023
431,2023-03-20,Monday,3,2023
432,2023-08-20,Sunday,8,2023
433,2023-03-23,Thursday,3,2023
434,2023-12-11,Monday,12,2023
435,2023-10-14,Saturday,10,2023
436,2023-10-28,Saturday,10,2023
437,2023-01-09,Monday,1,2023
438,2023-05-01,Monday,5,2023
439,2023-12-30,Saturday,12,2023
440,2023-08-19,Saturday,8,2023
441,2023-07-25,Tuesday,7,2023
442,2023-11-07,Tuesday,11,2023
443,2023-06-28,Wednesday,6,2023
444,2023-06-17,Saturday,6,2023
445,2023-08-15,Tuesday,8,2023
446,2023-12-20,Wednesday,12,2023
447,2023-11-05,Sunday,11,2023
448,2023-07-27,Thursday,7,2023
449,2023-08-28,Monday,8,2023
450,2023-06-21,Wednesday,6,2023
451,2023-12-23,Saturday,12,2023
452,2023-02-06,Monday,2,2023
453,2023-11-10,Friday,11,2023
454,2023-08-18,Friday,8,2023
455,2023-01-01,Sunday,1,2023
456,2023-03-31,Friday,3,2023
457,2023-12-25,Monday,12,2023
458,2023-12-01,Friday,12,2023
459,2023-01-21,Saturday,1,2023
460,2023-02-25,Saturday,2,2023
461,2023-12-07,Thursday,12,2023
462,2023-06-07,Wednesday,6,2023
463,2023-07-16,Sunday,7,2023
464,2023-09-29,Friday,9,2023
465,2023-08-17,Thursday,8,2023
466,2023-12-30,Saturday,12,2023
467,2023-07-27,Thursday,7,2023
468,2023-10-20,Friday,10,2023
469,2023-05-20,Saturday,5,2023
470,2023-06-06,Tuesday,6,2023
471,2023-01-23,Monday,1,2023
472,2023-02-03,Friday,2,2023
473,2023-03-30,Thursday,3,2023
474,2023-04-24,Monday,4,2023
475,2023-02-11,Saturday,2,2023
476,2023-07-13,Thursday,7,2023
477,2023-04-27,Thursday,4,2023
478,2023-02-07,Tuesday,2,2023
479,2023-03-08,Wednesday,3,2023
480,2023-10-15,Sunday,10,2023
481,2023-12-02,Saturday,12,2023
482,2023-01-03,Tuesday,1,2023
483,2023-10-06,Friday,10,2023
484,2023-06-23,Friday,6,2023
485,2023-01-07,Saturday,1,2023
486,2023-11-04,Saturday,11,2023
487,2023-07-25,Tuesday,7,2023
488,2023-04-22,Saturday,4,2023
489,2023-04-10,Monday,4,2023
490,2023-09-26,Tuesday,9,2023
491,2023-02-27,Monday,2,2023
492,2023-01-20,Friday,1,2023
493,2023-03-25,Saturday,3,2023
494,2023-12-30,Saturday,12,2023
495,2023-10-16,Monday,10,2023
496,2023-08-28,Monday,8,2023
497,2023-09-18,Monday,9,2023
498,2023-09-03,Sunday,9,2023
499,2023-12-17,Sunday,12,2023
500,2023-03-15,Wednesday,3,2023
501,2023-11-08,Wednesday,11,2023
502,2023-06-15,Thursday,6,2023
503,2023-06-24,Saturday,6,2023
504,2023-07-26,Wednesday,7,2023
505,2023-01-06,Friday,1,2023
506,2023-04-16,Sunday,4,2023
507,2023-10-20,Friday,10,2023
508,2023-01-28,Saturday,1,2023
509,2023-03-26,Sunday,3,2023
510,2023-06-07,Wednesday,6,2023
511,2023-03-19,Sunday,3,2023
512,2023-07-26,Wednesday,7,2023
513,2023-06-19,Monday,6,2023
514,2023-01-31,Tuesday,1,2023
515,2023-02-27,Monday,2,2023
516,2023-08-20,Sunday,8,2023
517,2023-04-07,Friday,4,2023
518,2023-10-04,Wednesday,10,2023
519,2023-11-20,Monday,11,2023
520,2023-03-31,Friday,3,2023
521,2023-01-26,Thursday,1,2023
522,2023-12-09,Saturday,12,2023
523,2023-03-25,Saturday,3,2023
524,2023-10-29,Sunday,10,2023
525,2023-06-17,Saturday,6,2023
526,2023-11-12,Sunday,11,2023
527,2023-12-17,Sunday,12,2023
528,2023-06-09,Friday,6,2023
529,2023-07-01,Saturday,7,2023
530,2023-10-23,Monday,10,2023
531,2023-12-19,Tuesday,12,2023
532,2023-09-03,Sunday,9,2023
533,2023-03-27,Monday,3,2023
534,2023-06-12,Monday,6,2023
535,2023-02-07,Tuesday,2,2023
536,2023-06-22,Thursday,6,2023
537,2023-12-21,Thursday,12,2023
538,2023-05-01,Monday,5,2023
539,2023-07-16,Sunday,7,2023
540,2023-12-03,Sunday,12,2023
541,2023-02-02,Thursday,2,2023
542,2023-06-05,Monday,6,2023
543,2023-09-15,Friday,9,2023
544,2023-01-14,Saturday,1,2023
545,2023-10-24,Tuesday,10,2023
546,2023-04-17,Monday,4,2023
547,2023-09-07,Thursday,9,2023
548,2023-02-13,Monday,2,2023
549,2023-01-17,Tuesday,1,2023
550,2023-08-07,Monday,8,2023
551,2023-11-10,Friday,11,2023
552,2023-08-17,Thursday,8,2023
553,2023-09-03,Sunday,9,2023
554,2023-11-03,Friday,11,2023
555,2023-10-27,Friday,10,2023
556,2023-04-10,Monday,4,2023
557,2023-04-30,Sunday,4,2023
558,2023-12-07,Thursday,12,2023
559,2023-04-13,Thursday,4,2023
560,2023-05-14,Sunday,5,2023
561,2023-12-25,Monday,12,2023
562,2023-04-21,Friday,4,2023
563,2023-06-02,Friday,6,2023
564,2023-07-11,Tuesday,7,2023
565,2023-12-31,Sunday,12,2023
566,2023-09-02,Saturday,9,2023
567,2023-06-16,Friday,6,2023
568,2023-08-08,Tuesday,8,2023
569,2023-01-19,Thursday,1,2023
570,2023-01-08,Sunday,1,2023
571,2023-01-25,Wednesday,1,2023
572,2023-11-18,Saturday,11,2023
573,2023-06-19,Monday,6,2023
574,2023-11-25,Saturday,11,2023
575,2023-02-12,Sunday,2,2023
576,2023-06-20,Tuesday,6,2023
577,2023-12-29,Friday,12,2023
578,2023-10-27,Friday,10,2023
579,2023-09-11,Monday,9,2023
580,2023-07-13,Thursday,7,2023
581,2023-08-13,Sunday,8,2023
582,2023-03-30,Thursday,3,2023
583,2023-09-30,Saturday,9,2023
584,2023-11-17,Friday,11,2023
585,2023-08-10,Thursday,8,2023
586,2023-12-08,Friday,12,2023
587,2023-01-16,Monday,1,2023
588,2023-01-01,Sunday,1,2023
589,2023-01-12,Thursday,1,2023
590,2023-05-19,Friday,5,2023
591,2023-02-06,Monday,2,2023
592,2023-08-14,Monday,8,2023
593,2023-06-26,Monday,6,2023
594,2023-02-28,Tuesday,2,2023
595,2023-11-10,Friday,11,2023
596,2023-06-30,Friday,6,2023
597,2023-06-13,Tuesday,6,2023
598,2023-02-24,Friday,2,2023
599,2023-12-19,Tuesday,12,2023
600,2023-09-30,Saturday,9,2023
601,2023-11-23,Thursday,11,2023
602,2023-08-06,Sunday,8,2023
603,2023-08-29,Tuesday,8,2023
604,2023-07-19,Wednesday,7,2023
605,2023-02-01,Wednesday,2,2023
606,2023-12-16,Saturday,12,2023
607,2023-07-29,Saturday,7,2023
608,2023-01-14,Saturday,1,2023
609,2023-03-25,Saturday,3,2023
610,2023-03-26,Sunday,3,2023
611,2023-09-14,Thursday,9,2023
612,2023-01-16,Monday,1,2023
613,2023-01-14,Saturday,1,2023
614,2023-07-25,Tuesday,7,2023
615,2023-11-04,Saturday,11,2023
616,2023-01-11,Wednesday,1,2023
617,2023-11-14,Tuesday,11,2023
618,2023-05-21,Sunday,5,2023
619,2023-01-03,Tuesday,1,2023
620,2023-01-16,Monday,1,2023
621,2023-11-01,Wednesday,11,2023
622,2023-01-16,Monday,1,2023
623,2023-08-24,Thursday,8,2023
624,2023-07-31,Monday,7,2023
625,2023-06-07,Wednesday,6,2023
626,2023-03-25,Saturday,3,2023
627,2023-11-27,Monday,11,2023
628,2023-01-03,Tuesday,1,2023
629,2023-09-21,Thursday,9,2023
630,2023-05-10,Wednesday,5,2023
631,2023-08-08,Tuesday,8,2023
632,2023-02-12,Sunday,2,2023
633,2023-05-22,Monday,5,2023
634,2023-03-27,Monday,3,2023
635,2023-12-24,Sunday,12,2023
636,2023-02-17,Friday,2,2023
637,2023-03-12,Sunday,3,2023
638,2023-01-13,Friday,1,2023
639,2023-03-29,Wednesday,3,2023
640,2023-07-21,Friday,7,2023
641,2023-05-01,Monday,5,2023
642,2023-12-03,Sunday,12,2023
643,2023-04-19,Wednesday,4,2023
644,2023-09-09,Saturday,9,2023
645,2023-07-17,Monday,7,2023
646,2023-08-21,Monday,8,2023
647,2023-07-09,Sunday,7,2023
648,2023-08-15,Tuesday,8,2023
649,2023-05-22,Monday,5,2023
650,2023-11-04,Saturday,11,2023
651,2023-11-29,Wednesday,11,2023
652,2023-12-04,Monday,12,2023
653,2023-04-25,Tuesday,4,2023
654,2023-01-02,Monday,1,2023
655,2023-12-25,Monday,12,2023
656,2023-08-30,Wednesday,8,2023
657,2023-08-02,Wednesday,8,2023
658,2023-09-17,Sunday,9,2023
659,2023-09-06,Wednesday,9,2023
660,2023-03-01,Wednesday,3,2023
661,2023-11-17,Friday,11,2023
662,2023-10-16,Monday,10,2023
663,2023-07-06,Thursday,7,2023
664,2023-05-05,Friday,5,2023
665,2023-06-23,Friday,6,2023
666,2023-02-17,Friday,2,2023
667,2023-06-22,Thursday,6,2023
668,2023-05-17,Wednesday,5,2023
669,2023-07-30,Sunday,7,2023
670,2023-10-10,Tuesday,10,2023
671,2023-07-13,Thursday,7,2023
672,2023-08-18,Friday,8,2023
673,2023-07-04,Tuesday,7,2023
674,2023-04-26,Wednesday,4,2023
675,2023-01-29,Sunday,1,2023
676,2023-01-04,Wednesday,1,2023
677,2023-02-07,Tuesday,2,2023
678,2023-02-26,Sunday,2,2023
679,2023-11-06,Monday,11,2023
680,2023-10-09,Monday,10,2023
681,2023-11-12,Sunday,11,2023
682,2023-10-28,Saturday,10,2023
683,2023-08-12,Saturday,8,2023
684,2023-02-07,Tuesday,2,2023
685,2023-09-04,Monday,9,2023
686,2023-06-29,Thursday,6,2023
687,2023-02-19,Sunday,2,2023
688,2023-10-16,Monday,10,2023
689,2023-10-13,Friday,10,2023
690,2023-04-17,Monday,4,2023
691,2023-08-24,Thursday,8,2023
692,2023-10-24,Tuesday,10,2023
693,2023-05-07,Sunday,5,2023
694,2023-09-03,Sunday,9,2023
695,2023-05-14,Sunday,5,2023
696,2023-02-13,Monday,2,2023
697,2023-01-17,Tuesday,1,2023
698,2023-12-09,Saturday,12,2023
699,2023-07-31,Monday,7,2023
700,2023-06-26,Monday,6,2023
701,2023-05-09,Tuesday,5,2023
702,2023-05-17,Wednesday,5,2023
703,2023-09-17,Sunday,9,2023
704,2023-03-06,Monday,3,2023
705,2023-03-18,Saturday,3,2023
706,2023-11-21,Tuesday,11,2023
707,2023-07-17,Monday,7,2023
708,2023-07-14,Friday,7,2023
709,2023-02-02,Thursday,2,2023
710,2023-01-23,Monday,1,2023
711,2023-07-21,Friday,7,2023
712,2023-02-16,Thursday,2,2023
713,2023-07-19,Wednesday,7,2023
714,2023-11-21,Tuesday,11,2023
715,2023-09-04,Monday,9,2023
716,2023-08-14,Monday,8,2023
717,2023-02-06,Monday,2,2023
718,2023-11-09,Thursday,11,2023
719,2023-07-29,Saturday,7,2023
720,2023-06-30,Friday,6,2023
721,2023-11-07,Tuesday,11,2023
722,2023-10-01,Sunday,10,2023
723,2023-09-16,Saturday,9,2023
724,2023-01-03,Tuesday,1,2023
725,2023-08-02,Wednesday,8,2023
726,2023-08-04,Friday,8,2023
727,2023-04-10,Monday,4,2023
728,2023-03-17,Friday,3,2023
729,2023-04-28,Friday,4,2023
730,2023-09-18,Monday,9,2023
731,2023-06-08,Thursday,6,2023
732,2023-12-23,Saturday,12,2023
733,2023-08-22,Tuesday,8,2023
734,2023-12-21,Thursday,12,2023
735,2023-07-21,Friday,7,2023
736,2023-05-25,Thursday,5,2023
737,2023-03-26,Sunday,3,2023
