sleep_key,Sleep_Quality
1268,good
1269,average
1270,poor
1271,poor
1272,average
1273,poor
1274,good
1275,average
1276,poor
1277,poor
1278,average
1279,good
1280,poor
1281,good
1282,average
1283,average
1284,average
1285,poor
1286,average
1287,average
1288,poor
1289,poor
1290,good
1291,average
1292,average
1293,average
1294,poor
1295,poor
1296,good
1297,average
1298,poor
1299,poor
1300,average
1301,good
1302,poor
1303,poor
1304,poor
1305,good
1306,average
1307,average
1308,average
1309,average
1310,average
1311,average
1312,average
1313,poor
1314,good
1315,average
1316,poor
1317,average
1318,average
1319,poor
1320,good
1321,average
1322,poor
1323,poor
1324,poor
1325,poor
1326,poor
1327,poor
1328,good
1329,good
1330,poor
1331,poor
1332,average
1333,good
1334,good
1335,good
1336,good
1337,poor
1338,good
1339,poor
1340,poor
1341,average
1342,good
1343,average
1344,poor
1345,good
1346,poor
1347,poor
1348,good
1349,good
1350,good
1351,average
1352,poor
1353,average
1354,average
1355,average
1356,average
1357,average
1358,poor
1359,average
1360,poor
1361,poor
1362,poor
1363,good
1364,good
1365,good
1366,poor
1367,good
1368,good
1369,average
1370,average
1371,poor
1372,good
1373,poor
1374,poor
1375,good
1376,average
1377,good
1378,average
1379,poor
1380,good
1381,poor
1382,average
1383,average
1384,good
1385,average
1386,poor
1387,average
1388,average
1389,average
1390,good
1391,poor
1392,poor
1393,average
1394,average
1395,good
1396,good
1397,good
1398,poor
1399,average
1400,average
1401,good
1402,poor
1403,good
1404,good
1405,average
1406,average
1407,poor
1408,poor
1409,average
1410,good
1411,good
1412,good
1413,good
1414,good
1415,poor
1416,poor
1417,average
1418,poor
1419,poor
1420,good
1421,good
1422,poor
1423,good
1424,average
1425,poor
1426,average
1427,poor
1428,average
1429,poor
1430,average
1431,good
1432,good
1433,poor
1434,poor
1435,good
1436,average
1437,good
1438,good
1439,poor
1440,average
1441,average
1442,good
1443,good
1444,good
1445,poor
1446,good
1447,poor
1448,good
1449,poor
1450,poor
1451,good
1452,good
1453,poor
1454,good
1455,average
1456,good
1457,good
1458,good
1459,poor
1460,poor
1461,average
1462,poor
1463,poor
1464,poor
1465,good
1466,average
1467,average
1468,good
1469,good
1470,good
1471,good
1472,good
1473,poor
1474,poor
1475,average
1476,average
1477,good
1478,good
1479,average
1480,poor
1481,average
1482,good
1483,poor
1484,poor
1485,poor
1486,average
1487,poor
1488,good
1489,good
1490,good
1491,good
1492,poor
1493,average
1494,good
1495,good
1496,good
1497,average
1498,average
1499,good
1500,good
1501,poor
1502,good
1503,average
1504,average
1505,poor
1506,average
1507,good
1508,average
1509,good
1510,poor
1511,average
1512,good
1513,poor
1514,poor
1515,poor
1516,average
1517,average
1518,good
1519,average
1520,poor
1521,average
1522,poor
1523,good
1524,good
1525,good
1526,good
1527,poor
1528,poor
1529,good
1530,good
1531,good
1532,good
1533,good
1534,average
1535,average
1536,poor
1537,poor
1538,poor
1539,good
1540,poor
1541,good
1542,average
1543,good
1544,poor
1545,poor
1546,average
1547,average
1548,good
1549,poor
1550,average
1551,poor
1552,average
1553,poor
1554,average
1555,good
1556,average
1557,poor
1558,poor
1559,poor
1560,poor
1561,good
1562,poor
1563,good
1564,average
1565,good
1566,poor
1567,average
1568,average
1569,poor
1570,good
1571,average
1572,average
1573,good
1574,poor
1575,good
1576,good
1577,average
1578,poor
1579,average
1580,average
1581,good
1582,good
1583,average
1584,poor
1585,average
1586,average
1587,average
1588,average
1589,poor
1590,average
1591,good
1592,average
1593,poor
1594,good
1595,good
1596,good
1597,good
1598,good
1599,poor
1600,average
1601,average
1602,average
1603,average
1604,average
1605,good
1606,good
1607,poor
1608,good
1609,good
1610,average
1611,good
1612,poor
1613,good
1614,average
1615,poor
1616,poor
1617,good
1618,poor
1619,poor
1620,good
1621,good
1622,good
1623,good
1624,poor
1625,average
1626,good
1627,good
1628,good
1629,average
1630,good
1631,poor
1632,average
1633,average
1634,poor
1635,poor
1636,good
1637,average
1638,good
1639,poor
1640,poor
1641,good
1642,average
1643,poor
1644,poor
1645,poor
1646,good
1647,good
1648,average
1649,average
1650,average
1651,good
1652,good
1653,good
1654,average
1655,average
1656,average
1657,good
1658,good
1659,average
1660,average
1661,average
1662,average
1663,average
1664,poor
1665,good
1666,poor
1667,poor
1668,poor
1669,good
1670,good
1671,average
1672,poor
1673,good
1674,good
1675,average
1676,good
1677,good
1678,good
1679,poor
1680,good
1681,average
1682,good
1683,good
1684,good
1685,poor
1686,good
1687,poor
1688,good
1689,poor
1690,good
1691,average
1692,poor
1693,poor
1694,poor
1695,good
1696,poor
1697,poor
1698,average
1699,average
1700,poor
1701,good
1702,good
1703,average
1704,good
1705,poor
1706,average
1707,average
1708,good
1709,average
1710,good
1711,average
1712,good
1713,average
1714,good
1715,good
1716,average
1717,good
1718,average
1719,good
1720,average
1721,good
1722,poor
1723,average
1724,poor
1725,good
1726,poor
1727,good
1728,good
1729,average
1730,average
1731,poor
1732,poor
1733,poor
1734,average
1735,poor
1736,average
1737,good
1738,poor
1739,good
1740,good
1741,good
1742,average
1743,poor
1744,poor
1745,poor
1746,average
1747,poor
1748,poor
1749,poor
1750,poor
1751,average
1752,good
1753,average
1754,good
1755,average
1756,average
1757,average
1758,good
1759,poor
1760,poor
1761,good
1762,good
1763,good
1764,poor
1765,average
1766,poor
1767,average
1768,good
1769,poor
1770,average
1771,good
1772,good
1773,good
1774,good
1775,poor
1776,average
1777,poor
1778,poor
1779,good
1780,poor
1781,poor
1782,poor
1783,poor
1784,poor
1785,average
1786,average
1787,good
1788,poor
1789,average
1790,poor
1791,poor
1792,good
1793,average
1794,poor
1795,good
1796,good
1797,average
1798,average
1799,good
1800,average
1801,good
1802,average
1803,good
1804,average
1805,average
1806,poor
1807,poor
1808,poor
1809,average
1810,average
1811,good
1812,average
1813,poor
1814,poor
1815,good
1816,average
1817,average
1818,poor
1819,average
1820,poor
1821,poor
1822,average
1823,poor
1824,good
1825,average
1826,poor
1827,good
1828,good
1829,average
1830,poor
1831,good
1832,poor
1833,poor
1834,poor
1835,poor
1836,good
1837,poor
1838,average
1839,poor
1840,poor
1841,poor
1842,average
1843,poor
1844,poor
1845,good
1846,average
1847,good
1848,average
1849,good
1850,poor
1851,good
1852,good
1853,good
1854,average
1855,poor
1856,poor
1857,average
1858,average
1859,good
1860,average
1861,poor
1862,good
1863,good
1864,average
1865,good
1866,good
1867,poor
1868,poor
1869,average
1870,poor
1871,good
1872,good
1873,good
1874,good
1875,good
1876,poor
1877,poor
1878,poor
1879,good
1880,good
1881,average
1882,good
1883,poor
1884,good
1885,poor
1886,good
1887,good
1888,good
1889,good
1890,average
1891,poor
1892,good
1893,good
1894,poor
1895,average
1896,good
1897,poor
1898,good
1899,good
1900,poor
1901,good
1902,poor
1903,poor
1904,average
1905,good
1906,good
1907,good
1908,poor
1909,good
1910,poor
1911,poor
1912,good
1913,poor
1914,poor
1915,average
1916,good
1917,average
1918,average
1919,poor
1920,good
1921,average
1922,poor
1923,poor
1924,good
1925,average
1926,poor
1927,good
1928,poor
1929,average
1930,average
1931,poor
1932,good
1933,poor
1934,average
1935,poor
1936,average
1937,average
1938,average
1939,poor
1940,good
1941,average
1942,poor
1943,good
1944,average
1945,average
1946,average
1947,poor
1948,good
1949,poor
1950,good
1951,poor
1952,average
1953,poor
1954,good
1955,poor
1956,average
1957,good
1958,average
1959,good
1960,good
1961,poor
1962,poor
1963,poor
1964,poor
1965,average
1966,average
1967,average
1968,good
1969,good
1970,average
1971,poor
1972,good
1973,poor
1974,average
1975,poor
1976,average
1977,poor
1978,average
1979,poor
1980,average
1981,poor
1982,good
1983,good
1984,good
1985,poor
1986,good
1987,good
1988,poor
1989,average
1990,good
1991,average
1992,good
1993,poor
1994,good
1995,good
1996,poor
1997,good
1998,good
1999,average
2000,average
2001,average
2002,poor
2003,poor
2004,poor
2005,poor
2006,average
2007,poor
2008,average
2009,good
2010,poor
2011,average
2012,poor
2013,good
2014,good
2015,average
2016,good
2017,average
2018,poor
2019,average
2020,average
2021,good
2022,poor
2023,average
2024,good
2025,poor
2026,average
2027,good
2028,poor
2029,poor
2030,average
2031,average
2032,poor
2033,average
2034,good
2035,average
2036,average
2037,average
2038,poor
2039,good
2040,good
2041,average
2042,good
2043,average
2044,average
2045,average
2046,average
2047,average
2048,average
2049,average
2050,good
2051,good
2052,poor
2053,good
2054,poor
2055,average
2056,good
2057,good
2058,good
2059,good
2060,average
2061,average
2062,good
2063,average
2064,good
2065,good
2066,poor
2067,average
2068,good
2069,poor
2070,poor
2071,average
2072,good
2073,good
2074,good
2075,good
2076,good
2077,poor
2078,good
2079,good
2080,poor
2081,good
2082,poor
2083,good
2084,good
2085,average
2086,poor
2087,good
2088,average
2089,good
2090,good
2091,poor
2092,poor
2093,good
2094,average
2095,good
2096,average
2097,poor
2098,average
2099,average
2100,average
2101,average
2102,average
2103,poor
2104,average
2105,good
2106,good
2107,average
2108,good
2109,good
2110,average
2111,good
2112,good
2113,average
2114,good
2115,good
2116,good
2117,average
2118,poor
2119,good
2120,good
2121,average
2122,average
2123,average
2124,good
2125,poor
2126,poor
2127,average
2128,poor
2129,average
2130,poor
2131,good
2132,good
2133,poor
2134,average
2135,poor
2136,average
2137,average
2138,poor
2139,average
2140,average
2141,good
2142,average
2143,poor
2144,poor
2145,poor
2146,poor
2147,average
2148,average
2149,poor
2150,average
2151,poor
2152,poor
2153,average
2154,poor
2155,average
2156,poor
2157,average
2158,poor
2159,average
2160,good
2161,average
2162,good
2163,average
2164,average
2165,average
2166,poor
2167,average
2168,good
2169,average
2170,poor
2171,average
2172,poor
2173,average
2174,good
2175,average
2176,poor
2177,average
2178,average
2179,poor
2180,good
2181,average
2182,average
2183,average
2184,average
2185,poor
2186,average
2187,good
2188,average
2189,average
2190,poor
2191,average
2192,good
2193,poor
2194,average
2195,good
2196,good
2197,average
2198,average
2199,poor
2200,average
2201,good
2202,average
2203,poor
2204,poor
2205,good
2206,average
2207,poor
2208,poor
2209,good
2210,average
2211,average
2212,poor
2213,average
2214,average
2215,average
2216,poor
2217,poor
2218,average
2219,good
2220,poor
2221,average
2222,poor
2223,poor
2224,average
2225,average
2226,poor
2227,good
2228,average
2229,poor
2230,average
2231,good
2232,poor
2233,average
2234,average
2235,good
2236,poor
2237,average
2238,good
2239,average
2240,good
2241,average
2242,poor
2243,poor
2244,average
2245,poor
2246,poor
2247,good
2248,average
2249,average
2250,average
2251,poor
2252,good
2253,good
2254,poor
2255,poor
2256,average
2257,good
2258,poor
2259,poor
2260,average
2261,poor
2262,poor
2263,poor
2264,poor
2265,poor
2266,poor
2267,good
2268,good
2269,average
2270,poor
2271,average
2272,average
2273,poor
2274,good
2275,average
2276,good
2277,poor
2278,average
2279,average
2280,average
2281,good
2282,poor
2283,good
2284,good
2285,good
2286,good
2287,good
2288,good
2289,poor
2290,average
2291,average
2292,average
2293,poor
2294,average
2295,average
2296,poor
2297,poor
2298,good
2299,poor
2300,poor
2301,poor
2302,average
2303,good
2304,good
2305,poor
2306,poor
2307,average
2308,poor
2309,poor
2310,poor
2311,poor
2312,good
2313,poor
2314,good
2315,average
2316,average
2317,good
2318,poor
2319,average
2320,poor
2321,poor
2322,good
2323,good
2324,average
2325,average
2326,poor
2327,good
2328,good
2329,average
2330,average
2331,poor
2332,average
2333,good
2334,poor
2335,poor
2336,good
2337,good
2338,good
2339,poor
2340,average
2341,average
2342,good
2343,average
2344,good
2345,good
2346,poor
2347,poor
2348,good
2349,poor
2350,good
2351,poor
2352,good
2353,good
2354,poor
2355,good
2356,average
2357,good
2358,poor
2359,good
2360,average
2361,average
2362,poor
2363,average
2364,average
2365,good
2366,poor
2367,good
2368,average
2369,good
2370,good
2371,good
2372,average
2373,average
2374,average
2375,average
2376,good
2377,good
2378,average
2379,average
2380,average
2381,poor
2382,good
2383,average
2384,good
2385,average
2386,average
2387,poor
2388,average
2389,poor
2390,good
2391,poor
2392,good
2393,average
2394,good
2395,good
2396,average
2397,poor
2398,average
2399,good
2400,average
2401,good
2402,average
2403,average
2404,good
2405,good
2406,poor
2407,good
2408,good
2409,poor
2410,average
2411,poor
2412,average
2413,good
2414,poor
2415,average
2416,good
2417,average
2418,poor
2419,good
2420,good
2421,poor
2422,average
2423,good
2424,good
2425,average
2426,good
2427,poor
2428,poor
2429,good
2430,good
2431,good
2432,good
2433,poor
2434,poor
2435,good
2436,poor
2437,average
2438,poor
2439,average
2440,poor
2441,poor
2442,poor
2443,average
2444,good
2445,good
2446,good
2447,average
2448,poor
2449,good
2450,average
2451,good
2452,average
2453,good
2454,poor
2455,good
2456,good
2457,average
2458,good
2459,poor
2460,average
2461,average
2462,poor
2463,poor
2464,good
2465,poor
2466,average
2467,good
2468,average
2469,average
2470,average
2471,average
2472,average
2473,average
2474,poor
2475,poor
2476,good
2477,poor
2478,good
2479,good
2480,good
2481,good
2482,poor
2483,poor
2484,average
2485,average
2486,average
2487,average
2488,poor
2489,poor
2490,good
2491,poor
2492,poor
2493,poor
2494,good
2495,poor
2496,poor
2497,average
2498,good
2499,good
2500,good
2501,poor
2502,good
2503,average
2504,average
2505,good
2506,poor
2507,average
2508,good
2509,poor
2510,average
2511,good
2512,average
2513,good
2514,good
2515,poor
2516,average
2517,average
2518,average
2519,poor
2520,good
2521,average
2522,good
2523,good
2524,average
2525,average
2526,good
2527,poor
2528,poor
2529,average
2530,average
2531,poor
2532,average
2533,good
2534,poor
2535,average
2536,average
2537,average
2538,average
2539,good
2540,poor
2541,average
2542,average
2543,good
2544,average
2545,poor
2546,poor
2547,poor
2548,good
2549,average
2550,good
2551,average
2552,average
2553,average
2554,average
2555,good
2556,poor
2557,good
2558,poor
2559,good
2560,poor
2561,good
2562,average
2563,good
2564,poor
2565,poor
2566,good
2567,good
2568,average
2569,average
2570,good
2571,average
2572,average
2573,poor
2574,poor
2575,average
2576,poor
2577,poor
2578,good
2579,poor
2580,poor
2581,good
2582,average
2583,good
2584,good
2585,good
2586,average
2587,poor
2588,poor
2589,average
2590,poor
2591,average
2592,poor
2593,poor
2594,poor
2595,average
2596,good
2597,poor
2598,good
2599,poor
2600,poor
2601,poor
2602,good
2603,poor
2604,poor
2605,poor
2606,average
2607,good
2608,poor
2609,good
2610,poor
2611,good
2612,good
2613,poor
2614,good
2615,poor
2616,good
2617,average
2618,poor
2619,poor
2620,poor
2621,good
2622,poor
2623,poor
2624,good
2625,good
2626,poor
2627,poor
2628,average
2629,good
2630,good
2631,average
2632,poor
2633,average
2634,poor
2635,good
2636,poor
2637,average
2638,poor
2639,good
2640,good
2641,poor
2642,average
2643,good
2644,average
2645,average
2646,average
2647,poor
2648,poor
2649,average
2650,good
2651,good
2652,poor
2653,poor
2654,good
2655,average
2656,good
2657,good
2658,good
2659,poor
2660,poor
2661,good
2662,poor
2663,average
2664,good
2665,average
2666,average
2667,average
2668,good
2669,good
2670,poor
2671,poor
2672,good
2673,good
2674,poor
2675,good
2676,poor
2677,poor
2678,good
2679,average
2680,poor
2681,good
2682,average
2683,good
2684,average
2685,good
2686,good
2687,good
2688,poor
2689,good
2690,average
2691,average
2692,average
2693,good
2694,average
2695,poor
2696,good
2697,average
2698,average
2699,poor
2700,average
2701,poor
2702,average
2703,poor
2704,poor
2705,good
2706,good
2707,poor
2708,good
2709,good
2710,poor
2711,poor
2712,good
2713,good
2714,poor
2715,poor
2716,good
2717,good
2718,good
2719,poor
2720,poor
2721,average
2722,good
2723,poor
2724,average
2725,average
2726,good
2727,average
2728,average
2729,poor
2730,good
2731,average
2732,poor
2733,good
2734,good
2735,good
2736,good
2737,poor
2738,poor
2739,average
2740,poor
2741,average
2742,good
2743,good
2744,good
2745,average
2746,poor
2747,average
2748,poor
2749,average
2750,good
2751,poor
2752,average
2753,good
2754,good
2755,good
2756,average
2757,good
2758,average
2759,poor
2760,poor
2761,average
2762,good
2763,good
2764,poor
2765,good
2766,average
2767,good
2768,poor
2769,average
2770,poor
2771,poor
2772,good
2773,poor
2774,average
2775,average
2776,poor
2777,average
2778,good
2779,good
2780,average
2781,good
2782,average
2783,good
2784,average
2785,average
2786,poor
2787,good
2788,good
2789,average
2790,good
2791,good
2792,poor
2793,good
2794,average
2795,average
2796,good
2797,poor
2798,good
2799,average
2800,poor
2801,average
2802,good
2803,good
2804,good
2805,good
2806,average
2807,poor
2808,good
2809,good
2810,poor
