lifestyle_key,Diet_Type,Smoking_Alcohol,Physical_Activity_Level
212,non-veg,occasional,moderate
213,balanced,yes,moderate
214,non-veg,no,active
215,balanced,occasional,moderate
216,balanced,occasional,moderate
217,balanced,no,moderate
218,veg,yes,sedentary
219,veg,yes,active
220,veg,yes,active
221,non-veg,no,sedentary
222,non-veg,occasional,moderate
223,non-veg,no,active
224,non-veg,yes,active
225,veg,occasional,sedentary
226,balanced,yes,active
227,non-veg,no,moderate
228,non-veg,occasional,active
229,balanced,occasional,moderate
230,balanced,yes,active
231,non-veg,yes,moderate
232,non-veg,yes,sedentary
233,non-veg,no,sedentary
234,balanced,yes,active
235,veg,yes,sedentary
236,balanced,occasional,moderate
237,non-veg,yes,sedentary
238,non-veg,occasional,moderate
239,balanced,occasional,active
240,veg,occasional,moderate
241,non-veg,occasional,moderate
242,non-veg,no,active
243,veg,yes,active
244,balanced,occasional,moderate
245,balanced,no,active
246,balanced,occasional,active
247,non-veg,no,sedentary
248,non-veg,yes,sedentary
249,balanced,occasional,active
250,veg,occasional,active
251,veg,yes,sedentary
252,veg,occasional,active
253,veg,yes,sedentary
254,non-veg,yes,moderate
255,non-veg,no,active
256,veg,occasional,active
257,non-veg,occasional,moderate
258,veg,occasional,sedentary
259,veg,occasional,moderate
260,balanced,occasional,active
261,veg,yes,moderate
262,veg,occasional,active
263,non-veg,yes,active
264,veg,no,moderate
265,non-veg,occasional,active
266,veg,no,active
267,non-veg,occasional,moderate
268,balanced,yes,moderate
269,non-veg,yes,active
270,balanced,no,sedentary
271,veg,no,sedentary
272,veg,no,moderate
273,veg,yes,active
274,veg,yes,moderate
275,balanced,occasional,active
276,balanced,yes,active
277,balanced,occasional,sedentary
278,balanced,no,moderate
279,non-veg,occasional,sedentary
280,non-veg,occasional,sedentary
281,veg,occasional,sedentary
282,balanced,occasional,sedentary
283,veg,occasional,sedentary
284,non-veg,yes,active
285,veg,yes,active
286,non-veg,yes,active
287,non-veg,yes,active
288,non-veg,occasional,active
289,veg,occasional,active
290,non-veg,no,active
291,non-veg,yes,active
292,balanced,yes,moderate
293,veg,yes,active
294,balanced,yes,active
295,balanced,yes,active
296,balanced,no,active
297,non-veg,no,active
298,non-veg,yes,active
299,veg,occasional,moderate
300,veg,yes,active
301,balanced,yes,moderate
302,balanced,occasional,sedentary
303,veg,yes,moderate
304,balanced,occasional,sedentary
305,non-veg,no,sedentary
306,balanced,yes,active
307,non-veg,no,moderate
308,veg,occasional,active
309,veg,occasional,sedentary
310,veg,no,active
311,balanced,yes,active
312,veg,no,active
313,balanced,yes,active
314,non-veg,yes,sedentary
315,non-veg,no,sedentary
316,non-veg,occasional,moderate
317,balanced,occasional,sedentary
318,veg,occasional,active
319,balanced,yes,active
320,balanced,no,moderate
321,balanced,no,sedentary
322,non-veg,no,sedentary
323,non-veg,occasional,moderate
324,non-veg,no,active
325,veg,no,active
326,veg,no,active
327,non-veg,yes,moderate
328,balanced,no,active
329,balanced,occasional,sedentary
330,non-veg,no,moderate
331,balanced,occasional,moderate
332,veg,no,active
333,veg,yes,active
334,balanced,yes,moderate
335,balanced,no,moderate
336,veg,no,moderate
337,veg,yes,active
338,balanced,yes,active
339,balanced,yes,sedentary
340,veg,occasional,sedentary
341,veg,yes,active
342,non-veg,no,moderate
343,balanced,no,moderate
344,non-veg,yes,active
345,balanced,no,moderate
346,veg,yes,active
347,non-veg,occasional,moderate
348,balanced,no,sedentary
349,balanced,yes,sedentary
350,veg,occasional,moderate
351,veg,yes,active
352,veg,occasional,moderate
353,balanced,yes,sedentary
354,veg,no,moderate
355,non-veg,yes,active
356,balanced,occasional,moderate
357,balanced,no,sedentary
358,balanced,no,active
359,veg,yes,active
360,non-veg,occasional,sedentary
361,non-veg,yes,active
362,balanced,yes,active
363,veg,occasional,active
364,non-veg,no,sedentary
365,veg,occasional,active
366,veg,yes,sedentary
367,non-veg,no,moderate
368,balanced,yes,active
369,veg,occasional,moderate
370,veg,yes,active
371,non-veg,occasional,moderate
372,non-veg,no,moderate
373,veg,occasional,sedentary
374,non-veg,yes,moderate
375,veg,occasional,moderate
376,balanced,no,moderate
377,non-veg,occasional,active
378,balanced,no,moderate
379,veg,yes,sedentary
380,balanced,no,sedentary
381,veg,occasional,sedentary
382,balanced,no,active
383,balanced,no,active
384,non-veg,no,moderate
385,balanced,yes,moderate
386,balanced,occasional,active
387,non-veg,occasional,moderate
388,non-veg,no,sedentary
389,balanced,no,moderate
390,veg,occasional,active
391,non-veg,yes,moderate
392,veg,no,moderate
393,veg,yes,sedentary
394,veg,occasional,active
395,non-veg,yes,active
396,non-veg,yes,moderate
397,veg,no,sedentary
398,balanced,no,active
399,balanced,yes,active
400,non-veg,yes,active
401,veg,occasional,active
402,balanced,occasional,sedentary
403,non-veg,yes,moderate
404,balanced,yes,sedentary
405,non-veg,no,moderate
406,veg,occasional,active
407,balanced,occasional,sedentary
408,balanced,yes,active
409,veg,no,moderate
410,balanced,yes,active
411,veg,yes,active
412,non-veg,no,moderate
413,balanced,occasional,moderate
414,balanced,yes,moderate
415,veg,yes,moderate
416,balanced,occasional,sedentary
417,non-veg,yes,active
418,non-veg,yes,moderate
419,non-veg,yes,sedentary
420,veg,occasional,sedentary
421,veg,no,moderate
422,balanced,yes,active
423,veg,occasional,sedentary
424,non-veg,no,active
425,non-veg,yes,active
426,non-veg,occasional,active
427,veg,occasional,moderate
428,balanced,yes,moderate
429,non-veg,occasional,moderate
430,balanced,occasional,moderate
431,balanced,yes,moderate
432,veg,yes,sedentary
433,non-veg,yes,active
434,non-veg,occasional,sedentary
435,non-veg,no,active
436,non-veg,yes,moderate
437,balanced,occasional,active
438,balanced,occasional,sedentary
439,veg,no,active
440,non-veg,yes,active
441,veg,no,active
442,non-veg,yes,moderate
443,veg,yes,sedentary
444,veg,no,sedentary
445,veg,no,sedentary
446,non-veg,no,sedentary
447,veg,occasional,moderate
448,veg,yes,moderate
449,veg,occasional,sedentary
450,veg,occasional,active
451,balanced,no,active
452,veg,yes,sedentary
453,balanced,no,moderate
454,veg,occasional,active
455,balanced,occasional,active
456,non-veg,yes,active
457,non-veg,occasional,moderate
458,non-veg,occasional,moderate
459,veg,occasional,moderate
460,balanced,yes,active
461,veg,yes,sedentary
462,veg,occasional,active
463,balanced,yes,moderate
464,non-veg,no,sedentary
465,veg,no,moderate
466,non-veg,no,moderate
467,balanced,yes,active
468,veg,yes,moderate
469,non-veg,yes,sedentary
470,veg,no,active
471,balanced,occasional,moderate
472,non-veg,yes,moderate
473,veg,yes,sedentary
474,balanced,no,sedentary
475,veg,occasional,moderate
476,balanced,occasional,moderate
477,veg,occasional,moderate
478,balanced,no,moderate
479,balanced,yes,sedentary
480,non-veg,no,moderate
481,veg,no,sedentary
482,veg,occasional,active
483,non-veg,yes,active
484,non-veg,yes,active
485,balanced,yes,moderate
486,non-veg,occasional,active
487,veg,occasional,sedentary
488,non-veg,occasional,sedentary
489,non-veg,no,active
490,balanced,occasional,moderate
491,non-veg,yes,active
492,non-veg,occasional,active
493,non-veg,no,sedentary
494,balanced,no,active
495,balanced,yes,active
496,non-veg,yes,moderate
497,non-veg,no,sedentary
498,non-veg,yes,active
499,veg,yes,sedentary
500,balanced,yes,sedentary
501,non-veg,no,moderate
502,non-veg,occasional,sedentary
503,veg,no,sedentary
504,veg,occasional,moderate
505,veg,yes,active
506,non-veg,yes,sedentary
507,balanced,occasional,sedentary
508,non-veg,occasional,active
509,balanced,occasional,sedentary
510,non-veg,no,moderate
511,non-veg,no,active
512,veg,occasional,moderate
513,non-veg,yes,sedentary
514,non-veg,yes,moderate
515,veg,occasional,active
516,veg,no,moderate
517,non-veg,no,moderate
518,balanced,yes,active
519,veg,occasional,active
520,balanced,occasional,moderate
521,non-veg,occasional,moderate
522,balanced,occasional,sedentary
523,balanced,yes,sedentary
524,non-veg,yes,active
525,non-veg,yes,active
526,balanced,yes,sedentary
527,veg,occasional,moderate
528,balanced,no,moderate
529,balanced,occasional,moderate
530,balanced,occasional,sedentary
531,balanced,occasional,moderate
532,balanced,no,active
533,non-veg,occasional,moderate
534,veg,yes,moderate
535,non-veg,occasional,active
536,veg,yes,active
537,balanced,no,active
538,non-veg,no,active
539,non-veg,occasional,active
540,non-veg,yes,active
541,non-veg,yes,sedentary
542,non-veg,no,active
543,balanced,occasional,moderate
544,balanced,yes,sedentary
545,balanced,occasional,active
546,non-veg,no,active
547,non-veg,no,active
548,veg,no,moderate
549,veg,no,active
550,veg,yes,moderate
551,non-veg,no,sedentary
552,non-veg,occasional,sedentary
553,balanced,no,sedentary
554,non-veg,yes,sedentary
555,non-veg,occasional,active
556,balanced,yes,active
557,veg,occasional,sedentary
558,balanced,occasional,moderate
559,balanced,no,active
560,balanced,yes,moderate
561,veg,occasional,active
562,non-veg,no,moderate
563,non-veg,occasional,moderate
564,veg,no,moderate
565,balanced,yes,active
566,non-veg,occasional,active
567,veg,no,active
568,non-veg,no,sedentary
569,balanced,no,active
570,balanced,occasional,sedentary
571,veg,occasional,moderate
572,non-veg,occasional,sedentary
573,non-veg,occasional,moderate
574,veg,yes,moderate
575,non-veg,yes,sedentary
576,non-veg,no,active
577,balanced,occasional,sedentary
578,balanced,no,active
579,non-veg,yes,moderate
580,veg,yes,moderate
581,non-veg,occasional,active
582,veg,yes,active
583,veg,no,moderate
584,non-veg,occasional,moderate
585,non-veg,yes,sedentary
586,balanced,yes,active
587,non-veg,occasional,sedentary
588,balanced,yes,active
589,balanced,no,moderate
590,balanced,no,sedentary
591,balanced,no,moderate
592,balanced,occasional,active
593,balanced,yes,active
594,non-veg,yes,moderate
595,veg,yes,active
596,veg,yes,sedentary
597,balanced,occasional,moderate
598,non-veg,no,sedentary
599,non-veg,occasional,active
600,non-veg,occasional,sedentary
601,veg,occasional,sedentary
602,non-veg,no,moderate
603,veg,yes,active
604,non-veg,yes,sedentary
605,balanced,occasional,active
606,non-veg,no,moderate
607,balanced,no,sedentary
608,balanced,yes,moderate
609,balanced,yes,active
610,veg,occasional,active
611,balanced,no,moderate
612,veg,occasional,sedentary
613,veg,no,active
614,non-veg,no,moderate
615,non-veg,yes,active
616,veg,yes,active
617,non-veg,occasional,moderate
618,balanced,occasional,active
619,non-veg,no,sedentary
620,balanced,no,active
621,veg,yes,moderate
622,veg,yes,moderate
623,veg,no,active
624,balanced,occasional,sedentary
625,balanced,occasional,sedentary
626,non-veg,no,sedentary
627,non-veg,yes,active
628,non-veg,occasional,moderate
629,non-veg,yes,moderate
630,veg,no,moderate
631,non-veg,yes,sedentary
632,veg,yes,sedentary
633,veg,yes,active
634,veg,no,sedentary
635,balanced,occasional,moderate
636,balanced,yes,active
637,veg,no,active
638,veg,yes,active
639,non-veg,occasional,active
640,non-veg,occasional,moderate
641,non-veg,occasional,moderate
642,veg,no,sedentary
643,veg,yes,active
644,non-veg,occasional,moderate
645,balanced,no,sedentary
646,non-veg,yes,moderate
647,veg,occasional,sedentary
648,balanced,no,moderate
649,non-veg,occasional,sedentary
650,veg,occasional,moderate
651,balanced,occasional,moderate
652,veg,no,sedentary
653,balanced,no,active
654,veg,no,moderate
655,balanced,yes,active
656,veg,no,active
657,non-veg,yes,active
658,non-veg,occasional,sedentary
659,veg,yes,active
660,veg,no,moderate
661,non-veg,occasional,sedentary
662,veg,occasional,moderate
663,veg,occasional,sedentary
664,balanced,occasional,moderate
665,balanced,occasional,active
666,non-veg,occasional,sedentary
667,non-veg,occasional,moderate
668,non-veg,no,sedentary
669,balanced,no,sedentary
670,balanced,yes,moderate
671,balanced,yes,active
672,veg,yes,sedentary
673,balanced,occasional,active
674,veg,occasional,moderate
675,non-veg,yes,active
676,veg,no,active
677,veg,yes,sedentary
678,veg,no,sedentary
679,non-veg,no,active
680,non-veg,no,sedentary
681,balanced,occasional,active
682,balanced,occasional,sedentary
683,veg,no,active
684,veg,no,sedentary
685,veg,occasional,sedentary
686,non-veg,yes,sedentary
687,veg,occasional,active
688,non-veg,no,sedentary
689,veg,yes,moderate
690,veg,no,moderate
691,veg,no,sedentary
692,veg,no,moderate
693,balanced,occasional,moderate
694,balanced,yes,moderate
695,veg,no,moderate
696,non-veg,yes,sedentary
697,non-veg,occasional,moderate
698,balanced,occasional,sedentary
699,non-veg,occasional,active
700,veg,no,active
701,balanced,no,moderate
702,balanced,occasional,active
703,non-veg,yes,moderate
704,balanced,occasional,active
705,balanced,occasional,sedentary
706,non-veg,no,sedentary
707,veg,yes,moderate
708,non-veg,occasional,active
709,balanced,occasional,moderate
710,veg,occasional,active
711,veg,yes,sedentary
712,veg,yes,moderate
713,veg,occasional,sedentary
714,balanced,occasional,moderate
715,veg,occasional,moderate
716,veg,occasional,moderate
717,veg,occasional,moderate
718,non-veg,occasional,sedentary
719,balanced,no,moderate
720,veg,no,sedentary
721,veg,occasional,active
722,non-veg,yes,active
723,veg,yes,moderate
724,non-veg,occasional,moderate
725,non-veg,yes,moderate
726,balanced,no,sedentary
727,non-veg,occasional,moderate
728,balanced,occasional,sedentary
729,non-veg,yes,sedentary
730,balanced,occasional,active
731,balanced,no,active
732,veg,yes,sedentary
733,balanced,no,sedentary
734,non-veg,yes,sedentary
735,non-veg,no,moderate
736,non-veg,occasional,moderate
737,balanced,occasional,moderate
738,veg,no,sedentary
739,non-veg,no,active
740,veg,no,moderate
741,non-veg,no,sedentary
742,veg,occasional,moderate
743,veg,yes,moderate
744,balanced,yes,moderate
745,non-veg,yes,active
746,balanced,occasional,sedentary
747,balanced,occasional,sedentary
748,balanced,no,active
749,balanced,occasional,active
750,balanced,yes,sedentary
751,non-veg,yes,sedentary
752,non-veg,no,active
753,veg,no,moderate
754,non-veg,occasional,active
755,non-veg,no,sedentary
756,non-veg,occasional,sedentary
757,non-veg,no,active
758,veg,occasional,moderate
759,veg,occasional,sedentary
760,balanced,no,moderate
761,non-veg,occasional,sedentary
762,non-veg,no,sedentary
763,balanced,occasional,active
764,non-veg,occasional,moderate
765,non-veg,no,sedentary
766,veg,no,sedentary
767,veg,no,moderate
768,balanced,yes,moderate
769,balanced,yes,sedentary
770,veg,no,active
771,veg,occasional,active
772,non-veg,yes,moderate
773,veg,yes,sedentary
774,balanced,yes,moderate
775,balanced,no,sedentary
776,non-veg,occasional,moderate
777,non-veg,yes,sedentary
778,balanced,yes,moderate
779,balanced,yes,sedentary
780,non-veg,no,sedentary
781,veg,occasional,active
782,non-veg,no,moderate
783,non-veg,yes,moderate
784,non-veg,yes,active
785,veg,occasional,moderate
786,veg,occasional,moderate
787,balanced,yes,sedentary
788,balanced,no,sedentary
789,balanced,occasional,active
790,veg,occasional,sedentary
791,veg,yes,moderate
792,veg,no,sedentary
793,non-veg,occasional,moderate
794,non-veg,occasional,sedentary
795,non-veg,yes,active
796,veg,no,moderate
797,veg,no,active
798,non-veg,yes,active
799,veg,yes,sedentary
800,non-veg,occasional,moderate
801,non-veg,no,active
802,balanced,no,sedentary
803,veg,no,sedentary
804,veg,occasional,moderate
805,balanced,occasional,moderate
806,veg,no,sedentary
807,veg,occasional,active
808,veg,occasional,moderate
809,balanced,occasional,moderate
810,balanced,no,sedentary
811,veg,occasional,active
812,veg,yes,sedentary
813,balanced,yes,active
814,balanced,no,moderate
815,non-veg,occasional,active
816,veg,no,moderate
817,non-veg,no,active
818,veg,no,sedentary
819,non-veg,yes,sedentary
820,veg,occasional,sedentary
821,balanced,yes,moderate
822,veg,occasional,moderate
823,balanced,occasional,moderate
824,veg,occasional,active
825,non-veg,yes,sedentary
826,veg,yes,sedentary
827,balanced,yes,active
828,non-veg,no,active
829,non-veg,no,active
830,veg,no,sedentary
831,balanced,no,moderate
832,non-veg,no,active
833,balanced,yes,moderate
834,non-veg,occasional,sedentary
835,non-veg,no,moderate
836,balanced,no,moderate
837,non-veg,no,active
838,non-veg,yes,sedentary
839,balanced,no,moderate
840,non-veg,yes,active
841,balanced,occasional,active
842,non-veg,no,moderate
843,balanced,occasional,active
844,balanced,no,active
845,veg,yes,active
846,non-veg,yes,moderate
847,balanced,no,active
848,balanced,yes,active
849,veg,no,sedentary
850,veg,yes,sedentary
851,non-veg,occasional,active
852,veg,yes,sedentary
853,veg,yes,sedentary
854,balanced,occasional,active
855,non-veg,yes,moderate
856,non-veg,occasional,active
857,veg,yes,active
858,balanced,no,moderate
859,balanced,no,active
860,balanced,occasional,active
861,veg,no,sedentary
862,veg,no,sedentary
863,veg,occasional,sedentary
864,veg,occasional,active
865,non-veg,yes,active
866,balanced,no,moderate
867,veg,occasional,moderate
868,non-veg,occasional,sedentary
869,veg,yes,moderate
870,non-veg,yes,sedentary
871,veg,yes,moderate
872,balanced,yes,moderate
873,non-veg,occasional,moderate
874,veg,yes,sedentary
875,non-veg,no,moderate
876,non-veg,no,active
877,non-veg,yes,active
878,non-veg,occasional,sedentary
879,balanced,no,active
880,balanced,yes,sedentary
881,balanced,no,active
882,balanced,occasional,moderate
883,veg,yes,moderate
884,non-veg,occasional,active
885,balanced,occasional,sedentary
886,balanced,occasional,active
887,veg,yes,active
888,veg,occasional,sedentary
889,balanced,occasional,active
890,veg,no,active
891,non-veg,occasional,active
892,veg,occasional,sedentary
893,non-veg,occasional,active
894,veg,occasional,active
895,balanced,yes,moderate
896,veg,no,moderate
897,balanced,occasional,moderate
898,balanced,occasional,sedentary
899,balanced,occasional,sedentary
900,balanced,occasional,moderate
901,non-veg,no,sedentary
902,balanced,yes,active
903,non-veg,occasional,active
904,balanced,yes,moderate
905,non-veg,no,sedentary
906,non-veg,occasional,sedentary
907,balanced,occasional,sedentary
908,balanced,no,active
909,balanced,no,sedentary
910,non-veg,no,moderate
911,balanced,yes,active
912,veg,yes,sedentary
913,veg,occasional,active
914,veg,no,sedentary
915,non-veg,yes,moderate
916,balanced,yes,sedentary
917,balanced,occasional,active
918,non-veg,no,moderate
919,balanced,yes,active
920,non-veg,no,moderate
921,balanced,occasional,sedentary
922,non-veg,occasional,sedentary
923,non-veg,yes,active
924,non-veg,occasional,sedentary
925,balanced,yes,active
926,non-veg,no,active
927,veg,no,moderate
928,non-veg,occasional,sedentary
929,non-veg,occasional,sedentary
930,veg,yes,moderate
931,veg,occasional,moderate
932,balanced,occasional,active
933,veg,occasional,moderate
934,veg,yes,active
935,non-veg,no,active
936,veg,yes,sedentary
937,veg,occasional,active
938,veg,yes,sedentary
939,veg,no,moderate
940,balanced,yes,active
941,balanced,occasional,moderate
942,veg,no,sedentary
943,non-veg,no,sedentary
944,veg,occasional,sedentary
945,non-veg,no,sedentary
946,non-veg,occasional,moderate
947,non-veg,occasional,moderate
948,balanced,no,moderate
949,balanced,no,sedentary
950,balanced,occasional,moderate
951,veg,no,active
952,veg,no,moderate
953,non-veg,yes,moderate
954,non-veg,yes,moderate
955,non-veg,occasional,active
956,non-veg,yes,active
957,non-veg,no,moderate
958,balanced,no,sedentary
959,non-veg,no,sedentary
960,non-veg,occasional,moderate
961,balanced,no,active
962,balanced,yes,moderate
963,veg,occasional,active
964,balanced,no,moderate
965,non-veg,yes,active
966,balanced,yes,sedentary
967,balanced,no,moderate
968,veg,occasional,moderate
969,non-veg,yes,moderate
970,balanced,yes,sedentary
971,veg,yes,sedentary
972,non-veg,yes,moderate
973,veg,occasional,sedentary
974,balanced,yes,moderate
975,veg,occasional,moderate
976,balanced,occasional,active
977,veg,no,moderate
978,balanced,no,moderate
979,non-veg,no,moderate
980,veg,occasional,active
981,veg,no,sedentary
982,non-veg,occasional,moderate
983,balanced,no,active
984,non-veg,no,active
985,balanced,occasional,active
986,veg,occasional,sedentary
987,veg,yes,moderate
988,non-veg,yes,moderate
989,non-veg,no,sedentary
990,balanced,yes,active
991,non-veg,no,moderate
992,balanced,yes,active
993,balanced,yes,active
994,veg,no,moderate
995,veg,no,sedentary
996,balanced,yes,moderate
997,veg,no,sedentary
998,veg,occasional,sedentary
999,non-veg,occasional,moderate
1000,non-veg,yes,sedentary
1001,veg,yes,active
1002,non-veg,no,sedentary
1003,balanced,no,active
1004,balanced,occasional,moderate
1005,veg,yes,active
1006,veg,yes,active
1007,non-veg,yes,moderate
1008,balanced,no,active
1009,non-veg,occasional,active
1010,balanced,yes,active
1011,veg,no,moderate
1012,veg,occasional,active
1013,non-veg,no,moderate
1014,non-veg,no,sedentary
1015,non-veg,occasional,sedentary
1016,veg,occasional,active
1017,veg,occasional,active
1018,balanced,no,moderate
1019,veg,yes,moderate
1020,veg,occasional,active
1021,non-veg,no,active
1022,veg,no,moderate
1023,veg,no,active
1024,non-veg,no,moderate
1025,balanced,yes,moderate
1026,veg,no,moderate
1027,balanced,no,sedentary
1028,veg,occasional,sedentary
1029,non-veg,occasional,moderate
1030,veg,yes,active
1031,non-veg,no,moderate
1032,non-veg,yes,sedentary
1033,non-veg,no,active
1034,non-veg,occasional,sedentary
1035,balanced,yes,active
1036,veg,no,active
1037,balanced,yes,active
1038,non-veg,yes,active
1039,balanced,no,sedentary
1040,non-veg,occasional,sedentary
1041,balanced,no,active
1042,non-veg,yes,moderate
1043,balanced,no,sedentary
1044,balanced,no,sedentary
1045,veg,no,active
1046,balanced,no,sedentary
1047,balanced,occasional,sedentary
1048,non-veg,yes,moderate
1049,non-veg,occasional,moderate
1050,veg,yes,sedentary
1051,veg,no,sedentary
1052,non-veg,no,active
1053,non-veg,occasional,sedentary
1054,balanced,occasional,active
1055,non-veg,no,active
1056,veg,yes,moderate
1057,non-veg,yes,active
1058,balanced,occasional,moderate
1059,balanced,occasional,moderate
1060,balanced,no,moderate
1061,balanced,no,active
1062,balanced,occasional,active
1063,balanced,yes,sedentary
1064,balanced,no,moderate
1065,veg,yes,moderate
1066,veg,yes,moderate
1067,balanced,occasional,moderate
1068,non-veg,occasional,sedentary
1069,balanced,no,active
1070,veg,no,active
1071,non-veg,no,moderate
1072,non-veg,yes,active
1073,balanced,no,moderate
1074,balanced,no,moderate
1075,non-veg,no,moderate
1076,veg,no,sedentary
1077,veg,occasional,moderate
1078,non-veg,occasional,sedentary
1079,balanced,yes,active
1080,balanced,occasional,active
1081,non-veg,yes,sedentary
1082,veg,no,active
1083,non-veg,no,sedentary
1084,veg,no,active
1085,balanced,no,active
1086,balanced,no,active
1087,veg,occasional,sedentary
1088,veg,yes,moderate
1089,balanced,no,sedentary
1090,veg,occasional,moderate
1091,balanced,occasional,sedentary
1092,balanced,no,moderate
1093,balanced,no,active
1094,balanced,yes,active
1095,non-veg,occasional,sedentary
1096,veg,occasional,sedentary
